Date,Team,DeploymentFrequency,LeadTime,ChangeFailureRate,MTTR
2021-11-08,Team A,1,18.6,1.1,1.0
2021-11-08,Team B,8,23.3,4.8,6.7
2021-11-08,Team C,29,16.0,1.9,1.6
2021-12-08,Team A,21,24.4,1.0,6.2
2021-12-08,Team B,14,17.0,8.5,5.6
2021-12-08,Team C,27,15.6,1.2,1.9
2022-01-07,Team A,14,21.7,4.2,3.6
2022-01-07,Team B,10,10.6,10.0,1.7
2022-01-07,Team C,20,2.3,7.5,3.0
2022-02-06,Team A,5,19.5,8.3,6.1
2022-02-06,Team B,11,14.1,7.9,7.0
2022-02-06,Team C,7,11.3,3.4,3.1
2022-03-08,Team A,7,2.6,6.8,2.8
2022-03-08,Team B,25,19.7,7.1,1.6
2022-03-08,Team C,19,12.2,1.3,6.4
2022-04-07,Team A,1,13.6,9.4,2.0
2022-04-07,Team B,23,3.8,4.6,6.5
2022-04-07,Team C,6,9.3,5.6,4.5
2022-05-07,Team A,20,20.7,10.0,3.4
2022-05-07,Team B,21,27.8,1.7,1.9
2022-05-07,Team C,16,8.6,9.8,3.5
2022-06-06,Team A,26,2.3,6.0,1.1
2022-06-06,Team B,8,1.8,9.3,6.9
2022-06-06,Team C,10,12.8,4.1,2.8
2022-07-06,Team A,29,5.4,5.9,4.9
2022-07-06,Team B,1,17.6,3.1,1.5
2022-07-06,Team C,6,5.2,8.5,4.5
2022-08-05,Team A,24,23.8,4.9,5.0
2022-08-05,Team B,8,9.4,6.3,6.3
2022-08-05,Team C,2,20.5,4.7,4.6
2022-09-04,Team A,19,3.3,9.5,2.1
2022-09-04,Team B,9,24.0,9.7,6.0
2022-09-04,Team C,19,14.4,7.6,4.0
2022-10-04,Team A,1,4.9,7.7,6.5
2022-10-04,Team B,19,18.2,7.7,2.0
2022-10-04,Team C,16,25.5,5.4,5.2
2022-11-03,Team A,12,3.1,8.5,2.2
2022-11-03,Team B,30,4.3,8.1,1.2
2022-11-03,Team C,21,5.9,9.6,6.2
2022-12-03,Team A,13,1.5,4.6,3.9
2022-12-03,Team B,26,22.2,7.3,4.7
2022-12-03,Team C,21,13.2,9.7,3.2
2023-01-02,Team A,22,24.7,8.5,5.3
2023-01-02,Team B,14,25.9,9.3,1.4
2023-01-02,Team C,1,13.7,8.5,2.9
2023-02-01,Team A,30,26.7,9.1,3.7
2023-02-01,Team B,7,14.2,6.1,2.1
2023-02-01,Team C,15,2.4,7.4,7.0
2023-03-03,Team A,19,3.2,9.6,5.0
2023-03-03,Team B,5,1.5,5.2,6.1
2023-03-03,Team C,27,19.0,5.8,2.0
2023-04-02,Team A,30,17.9,8.1,1.2
2023-04-02,Team B,16,13.7,5.9,4.1
2023-04-02,Team C,1,17.0,9.6,2.8
2023-05-02,Team A,19,27.1,1.8,6.0
2023-05-02,Team B,23,16.2,7.3,4.1
2023-05-02,Team C,30,23.9,7.1,2.3
2023-06-01,Team A,17,27.2,1.6,6.6
2023-06-01,Team B,25,5.4,3.9,2.2
2023-06-01,Team C,12,2.0,8.9,5.3
2023-07-01,Team A,9,18.5,3.6,2.4
2023-07-01,Team B,7,4.5,7.7,3.5
2023-07-01,Team C,10,10.0,4.4,1.7
2023-07-31,Team A,7,11.5,1.7,2.9
2023-07-31,Team B,21,2.1,1.6,4.1
2023-07-31,Team C,3,16.9,7.6,4.5
2023-08-30,Team A,6,14.6,6.0,5.0
2023-08-30,Team B,2,17.9,7.6,3.5
2023-08-30,Team C,12,16.1,3.2,6.6
2023-09-29,Team A,16,3.0,7.6,6.3
2023-09-29,Team B,18,6.9,8.9,6.6
2023-09-29,Team C,5,20.6,4.0,5.7
2023-10-29,Team A,5,18.1,9.9,3.6
2023-10-29,Team B,12,22.6,4.1,3.2
2023-10-29,Team C,24,18.0,1.5,4.1
1.9
